分类编号,品牌编号,供应商编号,供货港编号,厂家货号,商品标题,条形码,装箱数(最小起批量),库存,体积(m3),重量(kg),单位(个、只等),税点,出厂价,"义乌供价
(不含税不含运费)","世康售价
(不含税不含运费)","百云港汇售价
(不含税不含运费)",建议零售价,产地,备货周期(天),其他详细参数,填单人
ZB,,ZB01,ZB01-0001,25,毛巾,,320,,,,条,10,3.5,,,,,义乌,7,需要时填写，如：宽10cm，高10cm,张三三
ZB,,ZB01,ZB01-0002,6001,毛巾,,320,,,,条,10,3.5,,,,,义乌,7,,
ZB,,ZB01,ZB01-0003,2108,毛巾,,320,,,,条,10,2.5,,,,,义乌,7,,
ZB,,ZB01,ZB01-0004,9029,毛巾,,320,,,,条,10,3.7,,,,,义乌,7,,
ZB,,ZB01,ZB01-0005,9820,毛巾,,320,,,,条,10,3,,,,,义乌,7,,
ZB,,ZB01,ZB01-0006,9203,毛巾,,320,,,,条,10,4.7,,,,,义乌,7,,
ZB,,ZB01,ZB01-0007,804,毛巾,,200,,,,条,10,3.6,,,,,义乌,7,,
ZB,,ZB01,ZB01-0008,814,毛巾,,200,,,,条,10,7.6,,,,,义乌,7,,
ZB,,ZB01,ZB01-0009,7151,毛巾,,200,,,,条,10,7.5,,,,,义乌,7,,
ZB,,ZB01,ZB01-0010,808,毛巾,,200,,,,条,10,7,,,,,义乌,7,,
ZB,,ZB01,ZB01-0011,8055,浴巾,,60,,,,条,10,8.3,,,,,义乌,7,,
ZB,,ZB01,ZB01-0012,8057,浴巾,,60,,,,条,10,29,,,,,义乌,7,,
ZB,,ZB01,ZB01-0013,9143,浴巾,,60,,,,条,10,29,,,,,义乌,7,,
ZB,,ZB01,ZB01-0014,超细,超细,,60,,,,条,10,28,,,,,义乌,7,,
ZB,,ZB01,ZB01-0015,珊瑚绒,珊瑚绒,,60,,,,条,10,16,,,,,义乌,7,,
ZB,,ZB01,ZB01-0016,纱布,纱布,,60,,,,条,10,16.5,,,,,义乌,7,,
,,,,,,,,,,,,,21,,,,,,7,,
